REAL,PRED_LR,PRED_RF,PRED_XGB
354.5,354.4999999999968,354.381875,357.3876
795.875,795.8750000000043,795.875,796.96295
586.125,586.1250000000098,586.044375,583.3002
434.75,434.7499999999977,434.8175,431.70422
400.375,400.3750000000025,400.34375,401.05646
670.25,670.2500000000023,670.25,670.45496
635.125,635.1250000000127,634.965625,634.10535
771.875,771.8749999999973,771.861875,771.86646
656.375,656.3749999999973,656.3125,656.81134
742.875,742.8750000000043,743.17848,742.96375
911.5,911.4999999999859,911.755625,911.6296
693.625,693.6250000000023,693.63,694.2216
512.75,512.7500000000042,512.508125,514.27606
574.0,573.9999999999958,573.963125,575.2374
617.25,617.2499999999977,617.01125,616.1399
1252.625,1252.624999999993,1252.68875,1250.5355
1069.75,1069.7499999999955,1069.830625,1067.7345
1050.5,1050.4999999999952,1050.26125,1053.1415
769.5,769.4999999999982,769.338125,769.3849
711.375,711.3749999999986,711.375,711.7829
821.5,821.5000000000095,821.05,818.5278
826.125,826.1250000000023,826.125,827.09503
628.0,627.9999999999958,628.0,627.6541
983.625,983.6249999999973,982.99625,984.43787
626.875,626.8749999999977,626.875,626.1927
787.875,787.8749999999968,787.611875,788.06177
1036.125,1036.124999999999,1036.0075,1036.3312
761.0,761.0000000000116,761.4,759.34686
708.5,708.4999999999977,708.5,706.98346
918.625,918.6250000000134,918.625625,919.6939
751.25,751.2499999999955,751.228125,750.50287
910.5,910.4999999999936,910.35125,909.544
943.75,943.749999999997,943.75,941.84406
762.75,762.7499999999989,762.85375,762.8205
457.875,457.8750000000067,458.265,460.4786
839.25,839.2499999999989,839.25,839.9266
902.0,902.0000000000023,901.95625,905.1406
539.25,539.2500000000127,539.13,538.5053
760.375,760.374999999997,760.3775,757.0892
767.25,767.2499999999991,767.13375,766.42944
903.75,903.7499999999957,903.75,903.7654
760.375,760.3749999999948,760.2275,757.8066
622.875,622.8749999999989,622.875,624.1468
842.0,841.999999999993,842.483125,842.3715
847.25,847.2500000000186,847.038125,846.9689
767.875,767.8749999999852,767.889375,767.48157
1132.625,1132.6250000000095,1131.261875,1132.8093
809.0,808.9999999999955,809.0,808.08936
937.375,937.3749999999905,936.968125,937.2704
827.375,827.3750000000036,827.41625,829.0221
835.0,835.0000000000118,835.07625,836.0864
1009.375,1009.3750000000041,1009.395625,1009.37695
527.125,527.1249999999957,527.125,528.19354
785.701,785.7009999999946,784.9691199999999,785.133
691.375,691.3750000000132,691.375,693.41016
811.0,810.9999999999932,811.22125,809.87585
873.0,872.9999999999975,872.938125,873.0581
895.375,895.3750000000095,895.37875,895.8741
597.25,597.2500000000018,597.21,598.9105
310.0,309.9999999999959,310.0,308.62915
394.5,394.4999999999993,394.5,391.93878
691.375,691.3749999999957,691.375,691.772
775.125,775.1250000000023,775.11625,774.4109
956.875,956.8750000000095,956.941875,960.3614
798.125,798.1250000000016,798.1075,800.6548
489.25,489.2500000000126,489.1025,490.7453
983.125,983.1250000000041,982.70875,983.0485
1173.25,1173.2499999999955,1173.25,1174.9224
827.125,827.1249999999859,827.3025,826.5195
521.25,521.2499999999957,521.25,520.7749
490.5,490.49999999999886,490.77125,489.04742
902.625,902.6249999999977,902.16625,905.8607
770.5,770.5000000000034,770.326875,772.61896
355.75,355.7499999999957,355.39875,353.3445
838.375,838.3750000000148,838.248125,838.2204
660.75,660.7499999999934,661.0725,660.81464
337.25,337.2499999999959,337.195,332.71432
355.875,355.8750000000025,355.865625,354.2138
484.625,484.62499999999864,484.70875,485.26724
747.375,747.3749999999991,747.58375,748.528
395.625,395.62500000000637,395.18375,396.74362
753.625,753.6249999999991,753.625,753.5741
1039.875,1039.8750000000127,1040.6675,1039.0066
281.75,281.7499999999957,281.73125,275.73785
640.0,639.9999999999957,640.0,638.9508
770.5,770.4999999999975,770.203125,771.1268
724.75,724.7500000000139,724.61625,723.8035
534.75,534.749999999995,534.513125,534.6637
589.125,589.1250000000043,589.14625,590.4379
926.0,925.9999999999948,925.995,925.1904
577.875,577.8749999999958,577.81875,577.864
401.875,401.8749999999959,401.8525,402.55276
946.5,946.4999999999991,946.33125,947.35486
433.25,433.25000000000364,434.303125,429.74585
542.375,542.3750000000134,542.375,542.43365
629.125,629.1250000000175,629.409375,630.306
774.75,774.7499999999991,774.75,774.1197
524.625,524.6249999999985,524.49875,521.80896
828.875,828.8750000000045,829.001875,829.6533
593.875,593.8750000000116,593.880625,595.6769
605.75,605.7499999999982,605.483125,605.1746
626.875,626.8750000000126,626.875,624.6212
698.125,698.1250000000023,698.125,699.7385
713.0,712.9999999999891,712.759375,714.89764
1089.125,1089.1250000000127,1088.78125,1089.0752
680.5,680.5000000000045,680.5175,682.1275
563.5,563.5000000000063,563.5,564.2717
663.0,662.9999999999993,662.90375,662.35846
631.625,631.6249999999984,631.4,631.1219
798.125,798.1249999999955,798.125,798.29614
606.875,606.8749999999975,606.865625,607.93933
654.125,654.1249999999957,654.125,653.3405
1150.375,1150.3750000000032,1150.364375,1149.9092
931.75,931.7499999999977,931.75,931.8332
832.375,832.3750000000036,832.98125,833.2815
473.0,473.0000000000024,472.9025,473.74884
779.75,779.7499999999957,779.705625,777.80334
970.0,969.9999999999989,970.06625,969.9071
795.875,795.8750000000043,795.875,796.96295
408.0,408.00000000000455,408.03375,406.56912
793.0,792.9999999999943,793.019375,791.7156
516.125,516.1249999999993,516.090625,518.1297
648.0,648.0000000000042,648.0,648.5782
790.5,790.4999999999955,790.49625,791.4665
770.75,770.7500000000034,770.206875,771.11066
860.375,860.3749999999973,860.375,860.66455
728.5,728.499999999995,728.495,728.9831
543.75,543.7500000000043,543.77625,543.80475
551.625,551.624999999995,551.623125,551.93427
737.625,737.6249999999991,737.625,738.7032
1341.125,1341.1250000000127,1340.91625,1340.5706
584.625,584.6249999999943,584.625,585.8199
639.875,639.8749999999957,639.874375,638.9508
657.5,657.500000000013,656.671875,656.59766
981.875,981.8749999999943,981.720625,982.6574
479.0,478.9999999999959,479.0,479.8523
943.75,943.7499999999955,943.75,944.12274
521.5,521.4999999999854,521.3825,522.10565
732.375,732.37500000001,732.38875,731.1489
666.0,665.9999999999993,665.79125,667.2589
415.875,415.8750000000025,415.793125,418.1468
525.75,525.7500000000061,525.753125,526.4326
1065.125,1065.124999999997,1064.724375,1067.4517
522.375,522.3750000000048,524.2125,526.2739
504.625,504.6249999999958,504.621875,503.47546
478.625,478.62499999999716,478.475,476.55048
629.25,629.2499999999934,629.33875,630.21674
437.0,437.00000000000443,437.090625,435.51248
1172.125,1172.1249999999861,1172.684375,1173.025
834.25,834.249999999995,834.11875,834.30676
1098.375,1098.3749999999939,1097.79125,1097.6128
823.25,823.2500000000023,823.194375,823.3061
532.25,532.2499999999992,532.383125,534.22955
462.375,462.3749999999993,462.784375,460.2516
409.125,409.1249999999958,409.125,408.72174
1311.25,1311.2499999999977,1311.3625,1319.9474
585.75,585.7499999999853,585.729375,585.8792
569.625,569.6249999999958,569.579375,568.3235
585.75,585.7499999999957,585.75,586.7101
1001.375,1001.3749999999948,1001.3,1001.49915
969.375,969.3750000000127,969.641875,969.5125
619.5,619.5000000000132,619.50625,620.33795
1083.625,1083.6249999999993,1082.803125,1085.6995
1001.875,1001.8749999999859,1002.03875,1003.59814
551.25,551.2500000000044,551.304375,551.63586
711.625,711.6250000000023,711.63125,711.00085
674.25,674.2500000000127,674.244375,675.0369
612.125,612.1249999999989,612.638125,613.75446
590.5,590.4999999999958,590.5,590.0528
628.0,628.0000000000132,628.009375,627.3982
894.375,894.3749999999982,894.093125,894.4554
822.875,822.8749999999982,822.99625,821.4091
340.125,340.12499999999727,340.515625,335.31668
