ESCUELA PROFESIONAL,MINIMO_PREDICHO,PROMEDIO_PREDICHO,MAXIMO_PREDICHO,VACANTES_ESTIMADAS,TOTAL_POSTULANTES,TASA_INGRESO_ESTIMADA
MEDICINA VETERINARIA,1200.6249999999857,1303.3499999999856,1528.3749999999857,20,458,4.366812227074235
MICROBIOLOGIA Y PARASITOLOGIA,826.1249999999959,925.1614583333293,1210.374999999996,24,76,31.57894736842105
NUTRICION,1087.624999999986,1159.9791666666526,1267.374999999986,24,234,10.256410256410255
OBSTETRICIA,1063.2499999999873,1157.85227272726,1301.6249999999873,44,383,11.488250652741515
ODONTOLOGIA,1189.249999999984,1282.784999999984,1480.999999999984,25,462,5.411255411255411
PRESUPUESTO Y FINANZAS PUBLICAS - LIMA,902.8749999999861,993.0714285714147,1185.249999999986,35,123,28.455284552845526
PRESUPUESTO Y FINANZAS PUBLICAS - S.J.L,447.0000000000009,674.8125000000008,882.5000000000007,18,18,100.0
PSICOLOGIA,1192.624999999986,1257.3645833333192,1379.3749999999854,48,1155,4.1558441558441555
PSICOLOGIA ORGANIZACIONAL Y DE LA GESTION HUMANA,1097.7499999999816,1171.6428571428387,1341.1249999999814,21,257,8.171206225680933
QUIMICA,743.2499999999911,853.0178571428484,993.3749999999909,28,51,54.90196078431373
SOCIOLOGIA,885.4999999999852,971.5511363636215,1096.749999999985,22,82,26.82926829268293
TEC. MED. LAB. CLINICO Y ANATOMIA PATOLOGICA,1146.9999999999777,1227.9926470588014,1525.4999999999775,17,144,11.805555555555555
TEC. MED. RADIOLOGIA,1097.7499999999802,1191.9926470588039,1360.4999999999802,17,155,10.967741935483872
TEC. MED. TERAPIA FISICA Y REHABILITACION,1086.9999999999843,1207.0514705882197,1429.6249999999843,17,167,10.179640718562874
TEC. MED. TERAPIA OCUPACIONAL,982.3749999999854,1063.1764705882208,1189.2499999999854,17,108,15.74074074074074
TOXICOLOGIA,1034.7499999999823,1123.1590909090733,1298.6249999999823,11,56,19.642857142857142
TRABAJO SOCIAL,922.3749999999868,989.2464285714153,1122.9999999999868,35,182,19.230769230769234
